,0.08333333333333333,0.16666666666666666,1,2
0,1010.1026508293905,1041.992986273396,1371.5972406210667,1637.5067044607345
1,1009.151335844607,1041.1299292389283,1371.0510479130357,1637.0861580036803
2,1008.2002375684631,1040.2672088203453,1370.5051028861435,1636.6657835906412
3,1007.2493566836954,1039.4048254247707,1369.959405437041,1636.245581122576
4,1006.2986938738413,1038.5427794588404,1369.4139554622989,1635.8255504992908
5,1005.3482498232288,1037.681071328665,1368.8687528583139,1635.4056916214608
6,1004.3980252169733,1036.8197014398236,1368.323797521579,1634.986004389355
7,1003.4480207409797,1035.9586701973913,1367.7790893486865,1634.5664887036273
8,1002.4982370819237,1035.0979780058906,1367.2346282362294,1634.1471444655251
9,1001.5486749272645,1034.2376252693498,1366.6904140805289,1633.7279715748423
10,1000.5993349652263,1033.3776123912492,1366.1464467781782,1633.3089699328207
11,999.6502178848041,1032.5179397745412,1365.6027262258633,1632.8901394404977
12,998.7013243757535,1031.658607821658,1365.0592523198006,1632.4714799984943
13,997.7526551285846,1030.7996169344851,1364.5160249565745,1632.0529915083357
14,996.8042108345678,1029.9409675143875,1363.9730440327555,1631.634673870335
15,995.8559921857193,1029.0826599621873,1363.4303094448123,1631.2165269859115
16,994.9079998747989,1028.2246946781693,1362.8878210892049,1630.79855075663
17,993.9602345953031,1027.3670720620748,1362.3455788623733,1630.3807450835939
18,993.0126970414742,1026.5097925131117,1361.8035826608389,1629.9631098682762
19,992.0653879082779,1025.6528564299454,1361.2618323811942,1629.5456450119582
20,991.1183078914084,1024.796264210701,1360.7203279198277,1629.1283504157902
21,990.1714576872823,1023.9400162529448,1360.179069173198,1628.71122598227
22,989.2248379930354,1023.0841129537009,1359.6380560378352,1628.2942716124464
23,988.2784495065146,1022.2285547094543,1359.0972884102382,1627.8774872082354
24,987.3322929262765,1021.3733419161342,1358.5567661867906,1627.4608726711026
25,986.3863689515811,1020.5184749691116,1358.016489263938,1627.0444279031271
26,985.4406782823928,1019.6639542632167,1357.4764575383692,1626.6281528067277
27,984.4952216193642,1018.8097801927199,1356.9366709063752,1626.2120472833712
28,983.5499996638407,1017.9559531513189,1356.3971292644853,1625.7961112353619
29,982.6050131178556,1017.1024735321771,1355.8578325090991,1625.380344564861
30,981.6602626841247,1016.2493417278881,1355.3187805367656,1624.9647471740748
31,980.715749066032,1015.3965581304947,1354.7799732439912,1624.5493189655422
32,979.7714729676445,1014.5441231314596,1354.2414105271475,1624.1340598408622
33,978.8274350936915,1013.6920371216854,1353.7030922826532,1623.7189697035137
34,977.8836361495607,1012.8403004915262,1353.1650184071618,1623.3040484552373
35,976.9400768413082,1011.9889136307356,1352.6271887970913,1622.8892959993775
36,975.9967578756346,1011.137876928542,1352.0896033489005,1622.474712237562
37,975.0536799598913,1010.2871907735719,1351.552261958908,1622.0602970735397
38,974.1108438020751,1009.436855553889,1351.0151645238418,1621.6460504095933
39,973.1682501108219,1008.5868716569864,1350.4783109399077,1621.2319721485558
40,972.2258995953998,1007.7372394697793,1349.941701103814,1620.8180621936306
41,971.283792965711,1006.8879593786087,1349.405334911744,1620.4043204480486
42,970.3419309322776,1006.0390317692281,1348.8692122605657,1619.9907468143385
43,969.4003142062456,1005.190457026838,1348.3333330464302,1619.5773411961236
44,968.4589434993748,1004.3422355360337,1347.7976971659864,1619.1641034963004
45,967.5178195240367,1003.49436768084,1347.262304515627,1618.751033618378
46,966.5769429932072,1002.6468538446818,1346.727154991772,1618.3381314658882
47,965.6363146204637,1001.7996944104291,1346.1922484910501,1617.9253969418837
48,964.6959351199803,1000.9528897603416,1345.657584909924,1617.5128299500693
49,963.7558052065228,1000.1064402760994,1345.1231641446918,1617.100430394104
50,962.8159255954399,999.2603463387948,1344.588986092042,1616.6881981775227
51,961.8762970026678,998.4146083289268,1344.0550506483976,1616.2761332043806
52,960.9369201447164,997.5692266264027,1343.5213577102909,1615.8642353777657
53,959.997795738665,996.7242016105313,1342.9879071740802,1615.4525046023496
54,959.0589245021674,995.8795336600367,1342.4546989364135,1615.0409407816114
55,958.1203071534273,995.0352231530355,1341.9217328936697,1614.6295438197908
56,957.1819444112159,994.1912704670747,1341.3890089424199,1614.2183136206818
57,956.2438369948557,993.3476759790638,1340.8565269791497,1613.8072500889084
58,955.3059856242105,992.5044400653233,1340.3242869003454,1613.396353128075
59,954.3683910196921,991.6615631015891,1339.792288602499,1612.9856226429092
60,953.4310539022454,990.8190454629812,1339.2605319821937,1612.5750585378705
61,952.4939749933508,989.9768875240143,1338.7290169358273,1612.1646607172406
62,951.557155015016,989.1350896585968,1338.1977433601655,1611.7544290853014
63,950.620594689769,988.293652240046,1337.6667111514093,1611.3443635464077
64,949.6842947406565,987.4525756410321,1337.1359202062224,1610.9344640062368
65,948.7482558912357,986.6118602336671,1336.605370421166,1610.5247303686622
66,947.8124788655755,985.7715063894079,1336.0750616927917,1610.1151625384
67,946.8769643882422,984.9315144791224,1335.54499391745,1609.705760420962
68,945.9417131843013,984.091884873055,1335.0151669918548,1609.2965239206026
69,945.0067259793136,983.2526179408396,1334.4855808127074,1608.8874529429152
70,944.0720034993219,982.4137140514906,1333.9562352761257,1608.4785473921863
71,943.1375464709533,981.5751735734073,1333.4271302789625,1608.069807174066
72,942.2033556209126,980.7369968743724,1332.8982657177678,1607.661232193692
73,941.269431676976,979.8991843215231,1332.3696414890712,1607.2528223567633
74,940.3357753669882,979.061736281423,1331.8412574893762,1606.844577567691
75,939.4023874193492,978.2246531199751,1331.3131136152576,1606.43649773222
76,938.4692685629225,977.387935202458,1330.785209763358,1606.0285827563787
77,937.5364195270213,976.5515828935522,1330.2575458301953,1605.6208325451555
78,936.6038410414044,975.7155965572756,1329.7301217124489,1605.2132470041174
79,935.6715338362676,974.8799765570423,1329.2029373065739,1604.8058260393368
80,934.7394986422526,974.0447232556412,1328.6759925092758,1604.3985695563938
81,933.8077361904241,973.2098370152053,1328.1492872171339,1603.9914774611689
82,932.8762472122721,972.3753181972563,1327.6228213268762,1603.5845496592456
83,931.9450324397142,971.5411671626794,1327.0965947348152,1603.1777860568075
84,931.0140926050758,970.7073842717055,1326.570607337792,1602.7711865597398
85,930.0834284410967,969.8739698839709,1326.0448590324131,1602.3647510747503
86,929.1530406809152,969.0409243584375,1325.5193497152447,1601.9584795069968
87,928.2229300580796,968.2082480534395,1324.9940792829957,1601.5523717637072
88,927.2930973065256,967.3759413266814,1324.4690476323312,1601.1464277500536
89,926.3635431605778,966.5440045352173,1323.9442546597686,1600.7406473738324
90,925.4342683549494,965.7124380354605,1323.4197002620597,1600.3350305402046
91,924.5052736247258,964.881242183181,1322.8953843358172,1599.9295771562229
92,923.5765597053712,964.0504173335096,1322.3713067779697,1599.524287128339
93,922.6481273327217,963.2199638409325,1321.8474674848276,1599.1191603636116
94,921.7199772429622,962.3898820592719,1321.3238663531215,1598.7141967682674
95,920.7921101726497,961.5601723417342,1320.8005032798005,1598.3093962490966
96,919.864526858682,960.7308350408348,1320.2773781613807,1597.9047587131029
97,918.9372280383163,959.9018705084814,1319.7544908945051,1597.5002840675993
98,918.0102144491445,959.073279095918,1319.2318413761327,1597.0959722185585
99,917.0834868290897,958.2450611537029,1318.7094295026845,1596.6918230737906
100,916.157045916417,957.4172170317784,1318.1872551711785,1596.2878365405875
101,915.2308924497113,956.5897470794259,1317.6653182780906,1595.8840125251722
102,914.3050271678778,955.762651645269,1317.1436187203985,1595.4803509356234
103,913.379450810138,954.9359310772581,1316.6221563947233,1595.0768516794544
104,912.4541641160233,954.1095857227131,1316.1009311978023,1594.6735146631513
105,911.5291678253705,953.2836159282583,1315.57994302649,1594.270339795008
106,910.6044626783125,952.4580220399032,1315.0591917774714,1593.8673269819956
107,909.680049415279,951.6328044029644,1314.5386773476366,1593.4644761316085
108,908.7559287769834,950.8079633620835,1314.018399633705,1593.0617871523925
109,907.8321015044321,949.9834992612884,1313.4983585324087,1592.6592599512696
110,906.9085683388982,949.1594124438964,1312.9785539406832,1592.2568944362315
111,905.9853300219299,948.3357032525673,1312.458985755287,1591.8546905149674
112,905.0623872953429,947.5123720293197,1311.9396538731773,1591.4526480956904
113,904.1397409012211,946.6894191154618,1311.4205581909407,1591.0507670860811
114,903.2173915818933,945.8668448516771,1310.9016986057402,1590.649047394816
115,902.2953400799447,945.0446495779461,1310.3830750141765,1590.2474889295395
116,901.3735871382055,944.22283363359,1309.8646873132311,1589.84609159836
117,900.4521334997428,943.4013973572517,1309.3465353996041,1589.4448553096827
118,899.5309799078618,942.5803410869221,1308.8286191704744,1589.0437799718475
119,898.6101271060968,941.7596651598874,1308.3109385224475,1588.642865493438
120,897.6895758381979,940.9393699127791,1307.7934933526965,1588.2421117827728
121,896.7693268481448,940.1194556815399,1307.276283557918,1587.8415187478572
122,895.8493808801195,939.2999228014464,1306.759309035088,1587.4410862982627
123,894.9297386785186,938.4807716070848,1306.2425696811752,1587.040814342217
124,894.010400987936,937.6620024323724,1305.7260653931412,1586.6407027879047
125,893.0913685531609,936.8436156105427,1305.2097960678448,1586.2407515448247
126,892.1726421191788,936.0256114741353,1304.6937616023195,1585.8409605216318
127,891.2542224311533,935.2079903550211,1304.1779618934938,1585.4413296269333
128,890.3361102344315,934.3907525843927,1303.6623968384745,1585.041858770675
129,889.4183062745353,933.5738984927327,1303.1470663341606,1584.6425478606195
130,888.5008112971541,932.7574284098798,1302.6319702774335,1584.2433968068708
131,887.5836260481415,931.9413426649303,1302.1171085655394,1583.844405518203
132,886.6667512735069,931.1256415863445,1301.6024810953213,1583.4455739038444
133,885.750187719414,930.3103255018552,1301.088087763984,1583.0469018732738
134,884.8339361321725,929.4953947385461,1300.5739284684255,1582.6483893359195
135,883.9179972582331,928.6808496227666,1300.0600031057982,1582.250036200658
136,883.0023718441805,927.8666904802051,1299.5463115731397,1581.851842377892
137,882.0870606367312,927.0529176358527,1299.0328537675555,1581.453807776943
138,881.1720643827312,926.2395314139935,1298.519629586027,1581.0559323070768
139,880.2573838291378,925.4265321382297,1298.0066389257886,1580.6582158783121
140,879.3430197230239,924.6139201314561,1297.4938816839535,1580.2606584003486
141,878.4289728115743,923.8016957159009,1296.9813577575953,1579.8632597833937
142,877.5152438420721,922.9898592130512,1296.4690670438547,1579.466019936256
143,876.6018335618978,922.1784109437358,1295.9570094399305,1579.0689387703565
144,875.6887427185259,921.3673512280614,1295.4451848427896,1578.672016194712
145,874.775972059517,920.5566803854458,1294.9335931499388,1578.2752521200919
146,873.8635223325055,919.74639873459,1294.4222342583641,1577.8786464561708
147,872.9513942852109,918.9365065935212,1293.9111080652976,1577.4821991134145
148,872.0395886654126,918.1270042795368,1293.400214467927,1577.085910002154
149,871.1281062209603,917.3178921092399,1292.8895533634952,1576.6897790327484
150,870.2169476997576,916.5091703985443,1292.3791246493859,1576.2938061151708
151,869.306113849763,915.7008394626407,1291.8689282225566,1575.897991160709
152,868.3956054189789,914.8928996160198,1291.358963980392,1575.5023340797761
153,867.4854231554564,914.0853511724649,1290.8492318202298,1575.1068347824676
154,866.5755678072703,913.2781944450539,1290.33973163945,1574.7114931798892
155,865.6660401225379,912.471429746148,1289.830463334997,1574.3163091828023
156,864.7568408493933,911.665057387404,1289.3214268046236,1573.9212827016677
157,863.8479707359947,910.8590776797716,1288.8126219453568,1573.5264136476803
158,862.9394305305093,910.0534909334881,1288.3040486547418,1573.1317019319379
159,862.0312209811175,909.2482974580912,1287.7957068299759,1572.7371474649835
160,861.1233428359956,908.4434975623651,1287.28759636839,1572.3427501583456
161,860.2157968433171,907.6390915544346,1286.7797171675413,1571.9485099234746
162,859.3085837512583,906.8350797416542,1286.2720691246366,1571.554426670712
163,858.4017043079662,906.0314624307275,1285.7646521373008,1571.16050031138
164,857.4951592615746,905.228239927583,1285.2574661027068,1570.7667307578054
