alpha,beta,delta,mpmath,scipy,gnp
5.118265064840097,2.1586812665330752,5.423310782191326,1.1740854652579426E-02,1.1740854652579423E-02,1.1740854652579432E-02
9.504641916889721,0.25202475016780057,9.678837796132974,3.9974678765498961E-01,3.9974678765498756E-01,3.9974678765498944E-01
1.4416817112350655,0.24313314458871524,7.047853886931386,2.9695292033435100E-01,2.9695292033435650E-01,2.9695292033435106E-01
9.486499606427724,7.105026813023674,5.452297557772693,1.9043919162788314E-09,1.9043919162605412E-09,1.9043919162788364E-09
3.1183833369596536,0.2645535332610986,4.636803811448154,3.7441050127256326E-01,3.7441050127256315E-01,3.7441050127256320E-01
4.233322157080859,1.3251340813089978,4.664043429436205,8.0765524686092119E-02,8.0765524686092105E-02,8.0765524686092133E-02
8.277043167945035,2.1164566030426837,6.819999071068578,2.6615198998992253E-02,2.6615198998992368E-02,2.6615198998992267E-02
4.092050443777976,3.0510683916884918,2.3451302372226257,6.2728294078492185E-03,6.2728294078492289E-03,6.2728294078492246E-03
5.495981917361828,1.9749355376646218,7.154039704923569,1.1170451502426453E-02,1.1170451502426453E-02,1.1170451502426463E-02
0.27568837651935935,0.024264399417067494,4.909948271301038,4.6198971493613894E-01,4.6198971493613894E-01,4.6198971493613894E-01
7.535155735437199,2.7932914060262646,6.746654719160031,3.6284925313979526E-03,3.6284925313979574E-03,3.6284925313979539E-03
5.38147931786146,1.7606920448946168,9.408623417947362,9.2630531791194678E-03,9.2630531791194608E-03,9.2630531791194765E-03
3.297384191819272,2.3628637161438486,2.3346134725521286,1.6888564982006731E-02,1.6888564982006651E-02,1.6888564982006731E-02
7.8843081914137,2.5267786666715373,4.032314862058349,3.4064105261479190E-02,3.4064105261479162E-02,3.4064105261479204E-02
3.032017973433521,2.101881022445853,2.751673773739335,1.6746315871064576E-02,1.6746315871064465E-02,1.6746315871064579E-02
4.5350335450175665,2.4421938592005517,0.5268588795298441,2.0377485941244933E-01,2.0377485941244919E-01,2.0377485941244941E-01
1.3405035683019229,1.188969510123008,6.220934862857713,1.6036152864596148E-03,1.6036152864596289E-03,1.6036152864596157E-03
4.031189553172648,2.9544525453363537,6.285237298073719,3.1192692082738932E-05,3.1192692082728964E-05,3.1192692082738959E-05
2.0346320612374287,0.830339254901537,9.994108560327053,3.0728958674178394E-02,3.0728958674178380E-02,3.0728958674178412E-02
2.623207173084451,1.2720972973552986,6.0103089346911975,2.4236181657606753E-02,2.4236181657606770E-02,2.4236181657606756E-02
7.503671689833262,3.5375534050193167,3.9611250154415885,4.1648644945755254E-03,4.1648644945755150E-03,4.1648644945755280E-03
2.804159538984601,2.442307967509988,9.011597077515322,2.3040482077698482E-07,2.3040482527131525E-07,2.3040482077698529E-07
4.851961225218908,0.6732586217464969,0.15394167351224722,4.5727120215679395E-01,4.5727120215679751E-01,4.5727120215679390E-01
9.807373924292406,4.16206857099436,3.0271394217387493,9.1632737932035163E-03,9.1632737932035233E-03,9.1632737932035250E-03
9.616575770918502,5.143350862654566,7.51931527923795,1.1401614992167306E-06,1.1401614991570936E-06,1.1401614992167317E-06
7.247926928741259,3.1626357172179373,1.6149539865153895,6.4795158252711746E-02,6.4795158252710053E-02,6.4795158252711760E-02
5.412314432788787,3.2356569867840186,3.612423628197066,2.8290501855999964E-03,2.8290501856000068E-03,2.8290501855999964E-03
2.768984351333304,1.3812951318895854,8.490651459216577,6.3833811093126080E-03,6.3833811093126080E-03,6.3833811093126133E-03
1.6066040225503913,0.6649225578066933,3.4468120259863584,1.6464975741990107E-01,1.6464975741990107E-01,1.6464975741990112E-01
9.699257139620004,6.657951734112498,2.429682793272947,1.8130976929598317E-04,1.8130976929594861E-04,1.8130976929598338E-04
5.160734248620233,1.7013073704151247,8.905893623981667,1.1889943876881477E-02,1.1889943876881540E-02,1.1889943876881488E-02
1.158744538146456,0.7029954928531061,0.7742643110256663,2.9215308943259144E-01,2.9215308943259150E-01,2.9215308943259144E-01
6.2349352063994505,4.539663996735156,8.566932403626462,3.6903028213093997E-09,3.6903028212670704E-09,3.6903028213094051E-09
7.766853475111546,1.0204507041480089,3.1539146355129963,2.5835478878063428E-01,2.5835478878063384E-01,2.5835478878063428E-01
6.1300717102002995,2.003302514296679,2.0779263930739917,1.2071587832341767E-01,1.2071587832341744E-01,1.2071587832341768E-01
9.172985318138547,8.657602481765776,4.878838842721516,6.0334379349022910E-15,6.0334379348925241E-15,6.0334379349022823E-15
0.3960248073543622,0.38219928232594125,4.834232805714174,5.7598050937775751E-02,5.7598050937437972E-02,5.7598050937775744E-02
5.28593977367389,5.240501759311487,9.64697340286989,3.1402831186442706E-21,3.1402831186501075E-21,3.1402831186442544E-21
4.5934128952657485,0.1995414492320499,7.5250717449310685,3.9953505047606780E-01,3.9953505047606475E-01,3.9953505047606791E-01
0.623589556540841,0.5149950217660316,4.601278323252199,6.4673536647718646E-02,6.4673536647718646E-02,6.4673536647718646E-02
6.413317558576836,5.9926376311564455,5.594525848959423,6.4919706729936414E-12,6.4919707651784697E-12,6.4919706729936737E-12
8.52634312152272,7.68343354003729,3.1837508344798,1.7305192399262483E-08,1.7305192702965865E-08,1.7305192399262522E-08
5.929450886941029,4.236660378228777,9.82721765118474,1.7851753263627110E-09,1.7851753263429176E-09,1.7851753263627149E-09
2.6010484676274586,1.756405067672607,3.859449437298754,1.1713455336686149E-02,1.1713455336686151E-02,1.1713455336686152E-02
8.398831222161984,6.040165640422693,8.85690570085431,8.7303094965657282E-12,8.7303094961993130E-12,8.7303094965657492E-12
5.0950078656269415,2.9282846776314373,6.560806249147992,2.5875656433892749E-04,2.5875656433905765E-04,2.5875656433892782E-04
5.108937755776884,4.025042072853273,9.16144910995856,1.1228942767467221E-09,1.1228942347061141E-09,1.1228942767467235E-09
7.530326774001009,3.7796648730694136,3.545741150038551,3.7573737050701646E-03,3.7573737050701720E-03,3.7573737050701664E-03
1.479305565645987,0.33504144544072517,4.167022596403185,2.8932112180621739E-01,2.8932112180621727E-01,2.8932112180621744E-01
8.196285228520859,0.7799611819429079,3.69333269826124,3.0082270062039684E-01,3.0082270062039734E-01,3.0082270062039695E-01
6.832900731341971,6.200442054337657,8.27044547773204,3.3935478139158748E-16,3.3935478139132863E-16,3.3935478139158713E-16
7.870990705853854,5.937633146480636,9.5312323406365,3.8453211673333850E-13,3.8453211668189483E-13,3.8453211673334042E-13
1.9162434285754504,0.3408756607079875,8.245710865103268,2.4056287684257718E-01,2.4056287684257696E-01,2.4056287684257724E-01
8.023661374929187,6.59395212020117,4.514267583124341,1.3375788544634536E-08,1.3375788435179403E-08,1.3375788544634569E-08
1.913320128179397,0.575423488955726,8.29098436460785,1.1456432370260337E-01,1.1456432370260337E-01,1.1456432370260339E-01
0.8156180183733908,0.5182303634413402,7.301890671091899,5.3302563859041606E-02,5.3302563859041717E-02,5.3302563859041620E-02
8.552284220173274,3.0483809085833977,5.19138046317812,8.0158533624982552E-03,8.0158533624982535E-03,8.0158533624982587E-03
8.612848833427066,1.8494780285229133,1.8350317464684425,1.9707775812648023E-01,1.9707775812648029E-01,1.9707775812648026E-01
8.765383310456164,1.544964954287688,2.378785547371375,2.1090832090998363E-01,2.1090832090998324E-01,2.1090832090998368E-01
4.719150002615966,0.3388746588194206,7.037672175992898,3.3996334020830465E-01,3.3996334020830110E-01,3.3996334020830482E-01
2.740556481298322,0.2063356185307988,1.987474195812629,4.3165810011169359E-01,4.3165810011169375E-01,4.3165810011169353E-01
0.0710175768488023,0.004967823688349499,5.603503811592221,4.8523362212824284E-01,4.8523362212824378E-01,4.8523362212824273E-01
6.457244383659921,0.5859234403367454,8.041906656325192,2.5688039360238296E-01,2.5688039360238196E-01,2.5688039360238307E-01
7.199121844148579,5.999469037997949,6.539015383933874,4.8992099793239202E-11,4.8992099792924265E-11,4.8992099793239214E-11
8.355708608081091,4.326357880495362,6.097596196286275,6.4766612610944025E-05,6.4766612610280778E-05,6.4766612610944120E-05
2.8188500858626853,0.36455299312159956,2.577407860381451,3.6553081682176908E-01,3.6553081682176919E-01,3.6553081682176908E-01
2.15226014981302,1.1298174716820517,1.199447692534799,2.0050254160504269E-01,2.0050254160504255E-01,2.0050254160504272E-01
6.3933498675278715,3.4686770754102714,0.33919510648270673,2.1409522644088555E-01,2.1409522644088597E-01,2.1409522644088561E-01
8.050567825966782,3.9979027312605995,0.4634963016744718,1.6791905972642523E-01,1.6791905972642523E-01,1.6791905972642526E-01
9.636712361362424,1.9955067153134094,2.3177014290626685,1.6389600155168341E-01,1.6389600155168327E-01,1.6389600155168343E-01
1.5053332517287328,0.654111090203283,5.576871022784805,1.0151293297968396E-01,1.0151293297965755E-01,1.0151293297968397E-01
4.822175660754545,4.1958461244852145,4.23686024356708,3.0761241361344097E-06,3.0761241361339498E-06,3.0761241361344131E-06
8.947169150375515,3.4354267054361136,2.0410688984722443,4.8267672662201860E-02,4.8267672662202034E-02,4.8267672662201867E-02
4.227226797763678,2.130426231464466,3.0269411180641255,3.2198707449808024E-02,3.2198707449807587E-02,3.2198707449808031E-02
5.895061670634273,5.478763700234259,4.612566782416186,2.8420731745478900E-09,2.8420732029875180E-09,2.8420731745478933E-09
0.24500432586588267,0.05716827919074468,7.989442404818569,3.7760759674421279E-01,3.7760759674421701E-01,3.7760759674421285E-01
6.7346315255406735,4.882989517233749,6.559325896051402,8.5436864203113083E-08,8.5436864203472569E-08,8.5436864203113229E-08
9.190894287476262,4.447231582509652,0.4091512178872315,1.7364540093900219E-01,1.7364540093900216E-01,1.7364540093900216E-01
8.268270613034256,6.5054189078362015,4.8152418087657205,1.8783405619830150E-08,1.8783406012193129E-08,1.8783405619830163E-08
8.855214115072796,3.1874712274476003,1.8600528089049926,7.0122443074863219E-02,7.0122443074863150E-02,7.0122443074863233E-02
6.603587769667182,3.5809532782929248,8.548343193855956,1.1286911569590718E-05,1.1286911569745806E-05,1.1286911569590740E-05
2.4555981172050516,0.9050091434012383,8.84905384725012,4.1011399263532283E-02,4.1011399263532429E-02,4.1011399263532297E-02
7.685193137262654,6.650896343314475,5.546691644660298,4.0050481599146389E-11,4.0050480503251301E-11,4.0050481599146518E-11
2.116826258600845,1.9347543358643744,7.364106784021723,9.9962072509595095E-06,9.9962076225909512E-06,9.9962072509595129E-06
8.312765219161145,5.249990394380901,6.867841347062188,2.1716246508834857E-07,2.1716246508764418E-07,2.1716246508834926E-07
0.6272729539154254,0.6147639996076043,8.168366995077783,2.6672781113268782E-03,2.6672781113270595E-03,2.6672781113268778E-03
8.25489558515422,6.039212025819978,2.7882295617167645,7.0757542792729587E-05,7.0757542792712565E-05,7.0757542792729682E-05
1.6451562140143656,1.3650898939739045,2.2929602125211797,3.8668258087296473E-02,3.8668258087296459E-02,3.8668258087296480E-02
3.7515324502667693,3.3536119372272895,7.463115925234002,1.5988934955238839E-08,1.5988935141059415E-08,1.5988934955238869E-08
3.1674499917529877,0.8626928570497131,9.590823352745815,6.5601105226105544E-02,6.5601105226105599E-02,6.5601105226105585E-02
6.913401219073885,6.814571206694098,2.2982552465912782,1.7876821741433656E-07,1.7876822166914394E-07,1.7876821741433611E-07
1.785800924555902,0.6975931213220538,5.677783058000542,1.0488645543245859E-01,1.0488645543245857E-01,1.0488645543245860E-01
3.962621996553643,1.9702874543574653,5.442240703367367,8.7629890088974718E-03,8.7629890088974632E-03,8.7629890088974770E-03
